Date,Variable,Armenia,Japan,Mongolia,South Korea,United Arab Emirates,Asia_Cop
2059,nuclear_electricity,37.1,1195.74,0,652.7871429,152.072776,232.4549303
2060,nuclear_electricity,38.12222222,1226.4,0,669.1257143,155.6364656,238.3395394
2061,nuclear_electricity,39.14444444,1257.06,0,685.4642857,159.2001255,244.2241451
2062,nuclear_electricity,40.16666667,1287.72,0,701.8028571,162.7636484,250.1087351
2063,nuclear_electricity,41.18888889,1318.38,0,718.1414286,166.3271316,255.9933207
2064,nuclear_electricity,42.21111111,1349.04,0,734.48,169.890679,261.8779135
2065,nuclear_electricity,43.23333333,1379.7,0,750.8185714,173.4542763,267.7625121
2066,nuclear_electricity,44.25555556,1410.36,0,767.1571429,177.0178567,273.6471087
2067,nuclear_electricity,45.27777778,1441.02,0,783.4957143,180.5814007,279.5317012
2068,nuclear_electricity,46.3,1471.68,0,799.8342857,184.1449395,285.4162931
2069,nuclear_electricity,47.32222222,1502.34,0,816.1728571,187.7084976,291.3008872
2070,nuclear_electricity,48.34444444,1533,0,832.5114286,191.2720667,297.1854825
2071,nuclear_electricity,49.36666667,1563.66,0,848.85,194.8356291,303.0700771
2072,nuclear_electricity,50.38888889,1594.32,0,865.1885714,198.3991822,308.9546706
2073,nuclear_electricity,51.41111111,1624.98,0,881.5271429,201.9627353,314.8392641
2074,nuclear_electricity,52.43333333,1655.64,0,897.8657143,205.526294,320.7238583
2075,nuclear_electricity,53.45555556,1686.3,0,914.2042857,209.0898549,326.6084527
2076,nuclear_electricity,54.47777778,1716.96,0,930.5428571,212.6534136,332.4930468
2077,nuclear_electricity,55.5,1747.62,0,946.8814286,216.2169699,338.3776407
2078,nuclear_electricity,56.52222222,1778.28,0,963.22,219.7805266,344.2622346
2079,nuclear_electricity,57.54444444,1808.94,0,979.5585714,223.3440849,350.1468287
2080,nuclear_electricity,58.56666667,1839.6,0,995.8971429,226.9076435,356.0314229
2081,nuclear_electricity,59.58888889,1870.26,0,1012.235714,230.4712015,361.9160169
2082,nuclear_electricity,60.61111111,1900.92,0,1028.574286,234.0347588,367.800611
2083,nuclear_electricity,61.63333333,1931.58,0,1044.912857,237.5983164,373.685205
2084,nuclear_electricity,62.65555556,1962.24,0,1061.251429,241.1618744,379.5697991
2085,nuclear_electricity,63.67777778,1992.9,0,1077.59,244.7254325,385.4543931
2086,nuclear_electricity,64.7,2023.56,0,1093.928571,248.2889903,391.3389871
2087,nuclear_electricity,65.72222222,2054.22,0,1110.267143,251.852548,397.2235812
2088,nuclear_electricity,66.74444444,2084.88,0,1126.605714,255.4161058,403.1081752
2089,nuclear_electricity,67.76666667,2115.54,0,1142.944286,258.9796637,408.9927694
2090,nuclear_electricity,68.78888889,2146.2,0,1159.282857,262.5432215,414.8773634
2091,nuclear_electricity,69.81111111,2176.86,0,1175.621429,266.1067794,420.7619575
2092,nuclear_electricity,70.83333333,2207.52,0,1191.96,269.6703372,426.6465515
2093,nuclear_electricity,71.85555556,2238.18,0,1208.298571,273.233895,432.5311455
2094,nuclear_electricity,72.87777778,2268.84,0,1224.637143,276.7974528,438.4157396
2095,nuclear_electricity,73.9,2299.5,0,1240.975714,280.3610107,444.3003336
2096,nuclear_electricity,74.92222222,2330.16,0,1257.314286,283.9245685,450.1849278
2097,nuclear_electricity,75.94444444,2360.82,0,1273.652857,287.4881263,456.0695218
2098,nuclear_electricity,76.96666667,2391.48,0,1289.991429,291.0516841,461.9541159
2099,nuclear_electricity,77.98888889,2422.14,0,1306.33,294.615242,467.8387099
2100,nuclear_electricity,79.01111111,2452.8,0,1322.668571,298.1787998,473.7233039
