Date,Variable,Finland,France,Netherlands,Slovenia,Sweden,United Kingdom,
2055,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2056,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2057,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2058,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2059,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2060,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2061,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2062,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2063,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2064,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2065,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2066,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2067,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2068,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2069,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2070,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2071,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2072,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2073,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2074,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2075,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2076,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2077,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2078,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2079,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2080,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2081,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2082,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2083,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2084,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2085,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2086,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2087,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2088,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2089,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2090,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2091,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2092,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2093,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2094,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2095,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2096,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2097,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2098,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2099,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2100,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
