Date,Variable,Canada,United States,
1985,nuclear_electricity,60.52,403.89,0.052978554
1986,nuclear_electricity,71.27,435.83,0.057848506
1987,nuclear_electricity,77.26,479.23,0.063482774
1988,nuclear_electricity,82.87,554.71,0.072733288
1989,nuclear_electricity,79.32,557.22,0.072614648
1990,nuclear_electricity,72.46,607.22,0.077535934
1991,nuclear_electricity,84.34,644.81,0.083179329
1992,nuclear_electricity,80.02,651.34,0.08343144
1993,nuclear_electricity,93.28,642.41,0.083925394
1994,nuclear_electricity,107.08,674.15,0.089120465
1995,nuclear_electricity,97.16,708.84,0.091946156
1996,nuclear_electricity,92.12,710.24,0.091530915
1997,nuclear_electricity,81.96,661.73,0.08483801
1998,nuclear_electricity,70.99,709.16,0.088997262
1999,nuclear_electricity,72.98,766.58,0.095774584
2000,nuclear_electricity,69.16,753.89,0.09389117
2001,nuclear_electricity,72.86,768.83,0.096017568
2002,nuclear_electricity,71.75,780.06,0.097172028
2003,nuclear_electricity,71.15,763.73,0.095240703
2004,nuclear_electricity,85.87,788.53,0.09974903
2005,nuclear_electricity,86.83,781.99,0.09911248
2006,nuclear_electricity,92.44,787.22,0.100349076
2007,nuclear_electricity,88.19,806.42,0.102054529
2008,nuclear_electricity,88.3,806.21,0.102043121
2009,nuclear_electricity,85.13,798.85,0.100841889
2010,nuclear_electricity,85.53,806.97,0.101813826
2011,nuclear_electricity,88.29,790.2,0.100215606
2012,nuclear_electricity,89.49,769.33,0.097971709
2013,nuclear_electricity,97.58,789.02,0.101140771
2014,nuclear_electricity,101.21,797.17,0.1024846
2015,nuclear_electricity,96.05,797.18,0.101897102
2016,nuclear_electricity,95.69,805.69,0.102826831
2017,nuclear_electricity,95.57,804.95,0.102728725
2018,nuclear_electricity,95.03,807.08,0.102910107
2019,nuclear_electricity,95.47,809.41,0.103226101
2020,nuclear_electricity,92.65,789.88,0.100676477
2021,nuclear_electricity,87.36,779.65,0.098906
2022,nuclear_electricity,82.28,771.54,0.097401323
2023,nuclear_electricity,82.29075366,764.1613869,0.096560819
2024,nuclear_electricity,88.38517019,821.6368911,0.103812692
2025,nuclear_electricity,94.47958673,879.1123952,0.111064566
2026,nuclear_electricity,100.5740033,936.5878994,0.118316439
2027,nuclear_electricity,106.6684198,994.0634036,0.125568312
2028,nuclear_electricity,112.7628363,1051.538908,0.132820185
2029,nuclear_electricity,118.8572528,1109.014412,0.140072058
2030,nuclear_electricity,124.9516694,1166.489916,0.147323932
2031,nuclear_electricity,131.0460859,1223.96542,0.154575805
2032,nuclear_electricity,137.1405024,1281.440925,0.161827678
2033,nuclear_electricity,143.234919,1338.916429,0.169079551
2034,nuclear_electricity,149.3293355,1396.391933,0.176331425
2035,nuclear_electricity,155.423752,1453.867437,0.183583298
2036,nuclear_electricity,161.5181686,1511.342941,0.190835171
2037,nuclear_electricity,167.6125851,1568.818446,0.198087044
2038,nuclear_electricity,173.7070016,1626.29395,0.205338918
2039,nuclear_electricity,179.8014182,1683.769454,0.212590791
2040,nuclear_electricity,185.8958347,1741.244958,0.219842664
2041,nuclear_electricity,191.9902512,1798.720462,0.227094537
2042,nuclear_electricity,198.0846678,1856.195966,0.23434641
2043,nuclear_electricity,204.1790843,1913.671471,0.241598284
2044,nuclear_electricity,210.2735008,1971.146975,0.248850157
2045,nuclear_electricity,216.3679173,2028.622479,0.25610203
2046,nuclear_electricity,222.4623339,2086.097983,0.263353903
2047,nuclear_electricity,228.5567504,2143.573487,0.270605777
2048,nuclear_electricity,234.6511669,2201.048992,0.27785765
2049,nuclear_electricity,240.7455835,2258.524496,0.285109523
2050,nuclear_electricity,246.84,2316,0.292361396
2051,nuclear_electricity,246.84,2316,0.292361396
2052,nuclear_electricity,246.84,2316,0.292361396
2053,nuclear_electricity,246.84,2316,0.292361396
2054,nuclear_electricity,246.84,2316,0.292361396
2055,nuclear_electricity,246.84,2316,0.292361396
2056,nuclear_electricity,246.84,2316,0.292361396
2057,nuclear_electricity,246.84,2316,0.292361396
2058,nuclear_electricity,246.84,2316,0.292361396
2059,nuclear_electricity,246.84,2316,0.292361396
2060,nuclear_electricity,246.84,2316,0.292361396
2061,nuclear_electricity,246.84,2316,0.292361396
