Date,Variable,Canada,United States,
2062,nuclear_electricity,246.84,2316,0.292361396
2063,nuclear_electricity,246.84,2316,0.292361396
2064,nuclear_electricity,246.84,2316,0.292361396
2065,nuclear_electricity,246.84,2316,0.292361396
2066,nuclear_electricity,246.84,2316,0.292361396
2067,nuclear_electricity,246.84,2316,0.292361396
2068,nuclear_electricity,246.84,2316,0.292361396
2069,nuclear_electricity,246.84,2316,0.292361396
2070,nuclear_electricity,246.84,2316,0.292361396
2071,nuclear_electricity,246.84,2316,0.292361396
2072,nuclear_electricity,246.84,2316,0.292361396
2073,nuclear_electricity,246.84,2316,0.292361396
2074,nuclear_electricity,246.84,2316,0.292361396
2075,nuclear_electricity,246.84,2316,0.292361396
2076,nuclear_electricity,246.84,2316,0.292361396
2077,nuclear_electricity,246.84,2316,0.292361396
2078,nuclear_electricity,246.84,2316,0.292361396
2079,nuclear_electricity,246.84,2316,0.292361396
2080,nuclear_electricity,246.84,2316,0.292361396
2081,nuclear_electricity,246.84,2316,0.292361396
2082,nuclear_electricity,246.84,2316,0.292361396
2083,nuclear_electricity,246.84,2316,0.292361396
2084,nuclear_electricity,246.84,2316,0.292361396
2085,nuclear_electricity,246.84,2316,0.292361396
2086,nuclear_electricity,246.84,2316,0.292361396
2087,nuclear_electricity,246.84,2316,0.292361396
2088,nuclear_electricity,246.84,2316,0.292361396
2089,nuclear_electricity,246.84,2316,0.292361396
2090,nuclear_electricity,246.84,2316,0.292361396
2091,nuclear_electricity,246.84,2316,0.292361396
2092,nuclear_electricity,246.84,2316,0.292361396
2093,nuclear_electricity,246.84,2316,0.292361396
2094,nuclear_electricity,246.84,2316,0.292361396
2095,nuclear_electricity,246.84,2316,0.292361396
2096,nuclear_electricity,246.84,2316,0.292361396
2097,nuclear_electricity,246.84,2316,0.292361396
2098,nuclear_electricity,246.84,2316,0.292361396
2099,nuclear_electricity,246.84,2316,0.292361396
2100,nuclear_electricity,246.84,2316,0.292361396
